,Agent_0,Agent_1
0,1.664,1.716
1,1.527,1.715
2,1.426,1.675
3,1.588,1.668
4,1.565,1.644
5,1.578,1.614
6,1.599,1.665
7,1.641,1.7295
8,1.664,1.707
9,1.626,1.693
10,1.642,1.694
11,1.6455,1.715
12,1.66,1.712
13,1.65,1.682
14,1.632,1.713
15,1.669,1.706
16,1.639,1.714
17,1.659,1.734
18,1.657,1.712
19,1.632,1.709
20,1.652,1.71
21,1.64,1.724
22,1.661,1.72
23,1.646,1.704
24,1.64,1.708
25,1.652,1.72
26,1.651,1.723
27,1.653,1.703
28,1.629,1.699
29,1.645,1.719
30,1.659,1.725
31,1.6455,1.691
32,1.639,1.688
33,1.639,1.705
34,1.646,1.732
35,1.66,1.691
36,1.627,1.702
37,1.664,1.729
38,1.665,1.696
39,1.636,1.712
40,1.672,1.712
41,1.644,1.718
42,1.664,1.707
43,1.645,1.722
44,1.662,1.698
45,1.634,1.701
46,1.652,1.725
47,1.658,1.711
48,1.638,1.728
49,1.658,1.703
50,1.633,1.722
51,1.669,1.728
52,1.647,1.683
53,1.625,1.701
54,1.667,1.713
55,1.641,1.7
56,1.657,1.725
57,1.663,1.696
58,1.637,1.702
59,1.665,1.724
60,1.665,1.706
61,1.641,1.705
62,1.66,1.699
63,1.641,1.699
64,1.66,1.72
65,1.652,1.715
66,1.654,1.691
67,1.635,1.702
68,1.662,1.709
69,1.648,1.719
70,1.662,1.704
71,1.641,1.691
72,1.647,1.69
73,1.646,1.678
74,1.639,1.716
75,1.673,1.721
76,1.638,1.683
77,1.631,1.7
78,1.666,1.71
79,1.637,1.654
80,1.61,1.692
81,1.673,1.724
82,1.657,1.724
83,1.649,1.683
84,1.623,1.689
85,1.65,1.694
86,1.644,1.704
87,1.65,1.69
88,1.6455,1.715
89,1.666,1.72
90,1.653,1.686
91,1.639,1.709
92,1.674,1.738
93,1.675,1.726
94,1.652,1.702
95,1.65,1.702
96,1.662,1.736
97,1.683,1.722
98,1.654,1.698
99,1.6455,1.702
100,1.658,1.738
