,Agent_0,Agent_1
0,1.827,1.691
1,1.649,1.702
2,1.518,1.557
3,1.659,1.448
4,1.669,1.593
5,1.764,1.51
6,1.77,1.645
7,1.792,1.673
8,1.768,1.649
9,1.777,1.637
10,1.768,1.667
11,1.817,1.658
12,1.77,1.686
13,1.804,1.636
14,1.787,1.684
15,1.8125,1.683
16,1.776,1.684
17,1.81,1.645
18,1.805,1.677
19,1.82,1.664
20,1.794,1.686
21,1.789,1.656
22,1.82,1.68
23,1.806,1.681
24,1.803,1.658
25,1.796,1.671
26,1.795,1.675
27,1.803,1.665
28,1.81,1.669
29,1.796,1.677
30,1.788,1.666
31,1.803,1.665
32,1.8,1.682
33,1.805,1.666
34,1.801,1.67
35,1.801,1.661
36,1.812,1.678
37,1.791,1.679
38,1.808,1.653
39,1.812,1.681
40,1.81,1.686
41,1.792,1.675
42,1.824,1.664
43,1.81,1.683
44,1.822,1.654
45,1.806,1.674
46,1.79,1.668
47,1.806,1.657
48,1.796,1.664
49,1.817,1.671
50,1.808,1.68
51,1.816,1.664
52,1.817,1.687
53,1.8125,1.679
54,1.817,1.674
55,1.817,1.69
56,1.8125,1.692
57,1.817,1.676
58,1.826,1.682
59,1.825,1.6875
60,1.818,1.689
61,1.811,1.684
62,1.82,1.676
63,1.842,1.68
64,1.826,1.695
65,1.819,1.683
66,1.817,1.682
67,1.838,1.68
68,1.831,1.694
69,1.822,1.69
70,1.82,1.683
71,1.841,1.689
72,1.825,1.697
73,1.83,1.675
74,1.82,1.6875
75,1.834,1.682
76,1.817,1.688
77,1.834,1.675
78,1.825,1.692
79,1.827,1.673
80,1.834,1.687
81,1.82,1.6875
82,1.836,1.673
83,1.827,1.695
84,1.84,1.682
85,1.84,1.694
86,1.836,1.701
87,1.83,1.686
88,1.845,1.695
89,1.833,1.705
90,1.832,1.682
91,1.833,1.688
92,1.837,1.682
93,1.851,1.681
94,1.839,1.703
95,1.825,1.69
96,1.841,1.682
97,1.84,1.687
98,1.855,1.687
99,1.812,1.701
100,1.832,1.667
