,Agent_0,Agent_1
0,1.867,1.794
1,1.68,1.798
2,1.54,1.629
3,1.661,1.506
4,1.766,1.641
5,1.84,1.749
6,1.902,1.761
7,1.7705,1.777
8,1.754,1.666
9,1.808,1.72
10,1.86,1.776
11,1.883,1.79
12,1.854,1.805
13,1.835,1.774
14,1.853,1.773
15,1.879,1.786
16,1.862,1.803
17,1.832,1.772
18,1.849,1.758
19,1.861,1.786
20,1.882,1.789
21,1.853,1.807
22,1.84,1.776
23,1.859,1.775
24,1.859,1.796
25,1.859,1.785
26,1.852,1.793
27,1.853,1.765
28,1.85,1.788
29,1.854,1.781
30,1.86,1.772
31,1.867,1.785
32,1.86,1.8
33,1.849,1.786
34,1.864,1.784
35,1.861,1.798
36,1.864,1.79
37,1.833,1.79
38,1.845,1.761
39,1.855,1.792
40,1.869,1.785
41,1.863,1.796
42,1.85,1.789
43,1.853,1.782
44,1.858,1.788
45,1.874,1.794
46,1.878,1.803
47,1.863,1.799
48,1.86,1.792
49,1.873,1.794
50,1.876,1.811
51,1.883,1.797
52,1.872,1.811
53,1.847,1.791
54,1.845,1.781
55,1.865,1.781
56,1.884,1.783
57,1.878,1.809
58,1.841,1.799
59,1.854,1.775
60,1.855,1.795
61,1.874,1.778
62,1.861,1.806
63,1.845,1.778
64,1.841,1.772
65,1.8545,1.781
66,1.857,1.78
67,1.843,1.788
68,1.839,1.768
69,1.842,1.764
70,1.844,1.776
71,1.859,1.773
72,1.852,1.786
73,1.846,1.772
74,1.855,1.779
75,1.857,1.794
76,1.861,1.791
77,1.8545,1.797
78,1.867,1.786
79,1.863,1.805
80,1.851,1.788
81,1.844,1.785
82,1.862,1.7705
83,1.861,1.799
84,1.863,1.784
85,1.866,1.789
86,1.854,1.792
87,1.868,1.789
88,1.883,1.809
89,1.88,1.808
90,1.873,1.808
91,1.867,1.805
92,1.872,1.787
93,1.884,1.804
94,1.892,1.808
95,1.861,1.811
96,1.842,1.786
97,1.856,1.78
98,1.876,1.793
99,1.889,1.806
100,1.888,1.816
