,Agent_0,Agent_1
0,1.873,1.819
1,1.686,1.824
2,1.545,1.646
3,1.557,1.515
4,1.665,1.439
5,1.768,1.59
6,1.71,1.71
7,1.713,1.644
8,1.776,1.708
9,1.797,1.726
10,1.803,1.737
11,1.815,1.752
12,1.83,1.759
13,1.836,1.773
14,1.84,1.774
15,1.848,1.78
16,1.852,1.791
17,1.859,1.794
18,1.8545,1.8
19,1.861,1.803
20,1.863,1.802
21,1.86,1.805
22,1.864,1.803
23,1.865,1.81
24,1.869,1.806
25,1.866,1.808
26,1.865,1.807
27,1.868,1.809
28,1.868,1.809
29,1.873,1.8125
30,1.868,1.802
31,1.863,1.811
32,1.864,1.805
33,1.867,1.81
34,1.867,1.811
35,1.866,1.811
36,1.868,1.803
37,1.859,1.811
38,1.859,1.801
39,1.864,1.81
40,1.855,1.81
41,1.856,1.808
42,1.856,1.8
43,1.864,1.801
44,1.857,1.807
45,1.858,1.799
46,1.862,1.809
47,1.869,1.807
48,1.853,1.811
49,1.86,1.807
50,1.8545,1.802
51,1.865,1.801
52,1.863,1.803
53,1.865,1.806
54,1.866,1.808
55,1.856,1.81
56,1.858,1.803
57,1.866,1.8
58,1.857,1.81
59,1.861,1.799
60,1.864,1.808
61,1.866,1.805
62,1.865,1.809
63,1.862,1.807
64,1.863,1.808
65,1.868,1.809
66,1.871,1.808
67,1.87,1.811
68,1.878,1.81
69,1.876,1.812
70,1.876,1.812
71,1.872,1.812
72,1.874,1.8125
73,1.876,1.813
74,1.877,1.8125
75,1.875,1.814
76,1.876,1.814
77,1.876,1.814
78,1.875,1.815
79,1.875,1.814
80,1.872,1.814
81,1.874,1.813
82,1.87,1.814
83,1.874,1.813
84,1.871,1.814
85,1.875,1.814
86,1.871,1.815
87,1.874,1.815
88,1.872,1.815
89,1.874,1.813
90,1.873,1.8125
91,1.873,1.8125
92,1.875,1.8125
93,1.873,1.814
94,1.878,1.815
95,1.872,1.814
96,1.876,1.816
97,1.871,1.814
98,1.876,1.813
99,1.872,1.813
100,1.878,1.814
