,Agent_0,Agent_1
0,1.856,1.682
1,1.672,1.695
2,1.534,1.563
3,1.672,1.526
4,1.772,1.54
5,1.789,1.649
6,1.791,1.662
7,1.818,1.649
8,1.82,1.6455
9,1.835,1.663
10,1.839,1.684
11,1.856,1.64
12,1.836,1.716
13,1.848,1.647
14,1.835,1.692
15,1.844,1.631
16,1.834,1.687
17,1.839,1.667
18,1.849,1.677
19,1.842,1.674
20,1.86,1.676
21,1.829,1.699
22,1.856,1.663
23,1.842,1.699
24,1.846,1.649
25,1.84,1.71
26,1.845,1.646
27,1.831,1.694
28,1.83,1.6455
29,1.851,1.696
30,1.849,1.672
31,1.859,1.687
32,1.841,1.664
33,1.843,1.672
34,1.845,1.678
35,1.854,1.658
36,1.843,1.692
37,1.857,1.67
38,1.864,1.702
39,1.865,1.7
40,1.868,1.675
41,1.827,1.694
42,1.843,1.672
43,1.84,1.689
44,1.841,1.656
45,1.838,1.691
46,1.831,1.6455
47,1.839,1.686
48,1.857,1.679
49,1.859,1.696
50,1.869,1.711
51,1.863,1.672
52,1.838,1.691
53,1.852,1.689
54,1.846,1.677
55,1.856,1.671
56,1.8545,1.69
57,1.854,1.682
58,1.863,1.679
59,1.862,1.696
60,1.866,1.693
61,1.849,1.694
62,1.858,1.684
63,1.857,1.698
64,1.856,1.686
65,1.862,1.712
66,1.874,1.686
67,1.864,1.699
68,1.856,1.703
69,1.856,1.683
70,1.867,1.696
71,1.863,1.681
72,1.838,1.681
73,1.85,1.68
74,1.85,1.692
75,1.848,1.677
76,1.85,1.68
77,1.846,1.675
78,1.847,1.684
79,1.855,1.679
80,1.866,1.712
81,1.866,1.721
82,1.877,1.692
83,1.869,1.706
84,1.853,1.699
85,1.852,1.687
86,1.852,1.701
87,1.8545,1.668
88,1.847,1.699
89,1.8545,1.679
90,1.866,1.695
91,1.867,1.707
92,1.877,1.679
93,1.864,1.716
94,1.878,1.685
95,1.844,1.72
96,1.854,1.669
97,1.852,1.702
98,1.853,1.665
99,1.85,1.697
100,1.849,1.686
