episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,policy_reward_mean/agent_0,policy_reward_mean/agent_1,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_throughput,info/train_throughput,info/num_weight_syncs,info/num_samples_dropped,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/replay_shard_0/add_batch_time_ms,info/replay_shard_0/replay_time_ms,info/replay_shard_0/update_priorities_time_ms,info/replay_shard_0/policy_agent_0/added_count,info/replay_shard_0/policy_agent_0/sampled_count,info/replay_shard_0/policy_agent_0/est_size_bytes,info/replay_shard_0/policy_agent_0/num_entries,info/replay_shard_0/policy_agent_1/added_count,info/replay_shard_0/policy_agent_1/sampled_count,info/replay_shard_0/policy_agent_1/est_size_bytes,info/replay_shard_0/policy_agent_1/num_entries,info/learner/agent_0/cur_lr,info/learner/agent_0/mean_q,info/learner/agent_0/min_q,info/learner/agent_0/max_q,info/learner/agent_0/mean_td_error,info/learner/agent_1/cur_lr,info/learner/agent_1/mean_q,info/learner/agent_1/min_q,info/learner/agent_1/max_q,info/learner/agent_1/mean_td_error
56.886030751282604,45.63956746840746,50.55696112943996,100.0,848,83968,False,20089856,200904,192,5a8c3f26378b4467aafb07332f1f86bd,2019-09-28_10-17-43,1569665863,30.586990356445312,5862.795714139938,13510,RL-K80,10.0.0.4,30.586990356445312,83968,1,4,1c3a517a,24.461273482889617,26.09568764655028,0.6495699463570429,3.0171109707546475,1.851669687771575,0.010000000000000009,0.010000000000000009,576,28922624,20089856,7988.794,0.0,164,205,10258,0.2,0.4898979485566356,"[0.0, 0.0, 0.0, 1.0, 2.0]",36.314,113.144,54.339,21248,29184,27686984,21248,21248,29184,27686984,21248,0.0005000000237487257,9.519519805908203,9.255602836608887,10.124439239501953,0.013776522129774094,0.0005000000237487257,9.95760726928711,9.6527099609375,10.354086875915527,0.031123295426368713
61.299061264026484,43.67303945328779,52.12683436154408,100.0,1008,101888,False,20191744,201912,193,5a8c3f26378b4467aafb07332f1f86bd,2019-09-28_10-18-13,1569665893,30.491164445877075,5893.286878585815,13510,RL-K80,10.0.0.4,61.07815480232239,185856,2,4,1c3a517a,27.88779225669541,24.239042104848725,0.6740222865547747,3.0590070374758636,1.9156188057281487,0.010000000000000009,0.010000000000000009,579,29083648,20191744,0.0,0.0,362,205,10887,0.24,0.5122499389946279,"[0.0, 0.0, 0.0, 1.0, 2.0]",38.481,80.337,47.678,46848,68608,61044636,46848,46848,68608,61044636,46848,0.0005000000237487257,9.792234420776367,9.318668365478516,10.280738830566406,0.002870984375476837,0.0005000000237487257,9.905743598937988,9.123075485229492,10.514761924743652,0.00775802880525589
61.3115969355877,50.2034960879942,59.574832896116035,100.0,1032,103168,False,20294912,202944,194,5a8c3f26378b4467aafb07332f1f86bd,2019-09-28_10-18-44,1569665924,30.4343478679657,5923.721226453781,13510,RL-K80,10.0.0.4,91.51250267028809,289024,3,4,1c3a517a,31.05631901487139,28.518513881244743,0.6758781598947028,3.0449355932149245,1.952685881713634,0.010000000000000009,0.010000000000000009,582,29242112,20294912,0.0,0.0,563,205,11506,0.2,0.4,"[0.0, 0.0, 0.0, 1.0, 1.0]",36.101,92.288,53.791,75776,109568,97727564,75000,75776,109568,97727564,75000,0.0005000000237487257,10.13604736328125,9.541415214538574,10.482114791870117,0.04083738476037979,0.0005000000237487257,10.171371459960938,9.532673835754395,10.71302604675293,0.026567894965410233
61.30166952106748,59.1807617097153,60.76404822263351,100.0,1032,102656,False,20397568,203976,195,5a8c3f26378b4467aafb07332f1f86bd,2019-09-28_10-19-14,1569665954,30.6060848236084,5954.3273112773895,13510,RL-K80,10.0.0.4,122.11858749389648,391680,4,4,1c3a517a,31.87827833669299,28.885769885940643,0.6811046975388236,3.0518547172281734,1.9650181695299835,0.010000000000000009,0.010000000000000009,585,29398528,20397568,0.0,0.0,764,205,12118,0.12,0.3249615361854384,"[0.0, 0.0, 0.0, 1.0, 1.0]",27.476,81.275,51.7,103424,149504,97727564,75000,103424,149504,97727564,75000,0.0005000000237487257,10.63345718383789,10.139724731445312,10.693206787109375,0.01696481555700302,0.0005000000237487257,10.318363189697266,9.7727689743042,10.621670722961426,0.021369531750679016
61.28756833225528,59.13505849519617,60.69959824818466,100.0,1040,104448,False,20502016,205016,196,5a8c3f26378b4467aafb07332f1f86bd,2019-09-28_10-19-45,1569665985,30.645085096359253,5984.972396373749,13510,RL-K80,10.0.0.4,152.76367259025574,496128,5,4,1c3a517a,31.85194663609729,28.8476516120875,0.6853880233102522,3.044875740150863,1.9475075373225743,0.010000000000000009,0.010000000000000009,588,29545216,20502016,0.0,23025.858,969,205,12690,0.18,0.38418745424597095,"[0.0, 0.0, 0.0, 1.0, 1.0]",39.271,100.387,51.994,128000,188672,97727564,75000,128000,188672,97727564,75000,0.0005000000237487257,10.953004837036133,10.58383560180664,11.146734237670898,0.008692119270563126,0.0005000000237487257,10.471449851989746,10.115697860717773,10.51148796081543,0.04433007538318634
61.308599947466625,58.911101319273364,60.77006883439159,100.0,1008,99840,False,20601856,206024,197,5a8c3f26378b4467aafb07332f1f86bd,2019-09-28_10-20-16,1569666016,30.540190935134888,6015.512587308884,13510,RL-K80,10.0.0.4,183.30386352539062,595968,6,4,1c3a517a,31.888001159658263,28.882067674733452,0.6917134961438178,3.0627019401049473,1.9598449800524054,0.010000000000000009,0.010000000000000009,591,29697280,20601856,0.0,0.0,1162,205,13284,0.1,0.36055512754639896,"[0.0, 0.0, 0.0, 0.0, 2.0]",41.522,115.61,56.301,154624,226560,97727564,75000,154624,226560,97727564,75000,0.0005000000237487257,11.163148880004883,10.946090698242188,11.178618431091309,0.006570674479007721,0.0005000000237487257,10.543331146240234,10.196152687072754,10.574686050415039,0.010857202112674713
61.32912134729974,59.21999718355077,60.81668886748703,100.0,1024,103168,False,20705024,207048,198,5a8c3f26378b4467aafb07332f1f86bd,2019-09-28_10-20-46,1569666046,30.67376208305359,6046.186349391937,13510,RL-K80,10.0.0.4,213.9776256084442,699136,7,4,1c3a517a,31.90442160036995,28.912267267117205,0.6931690046772456,3.066473217496725,1.9582448908454468,0.010000000000000009,0.010000000000000009,594,29847296,20705024,7017.966,7017.966,1365,205,13870,0.14,0.3469870314579494,"[0.0, 0.0, 0.0, 1.0, 1.0]",35.317,105.735,45.409,181504,264960,97727564,75000,181504,264960,97727564,75000,0.0005000000237487257,11.313833236694336,11.110322952270508,11.32225513458252,0.0118645541369915,0.0005000000237487257,10.613177299499512,10.4471435546875,10.618514060974121,0.01703312247991562
61.312177820956926,59.222229257071504,60.85065287099079,100.0,1040,103936,False,20808960,208088,199,5a8c3f26378b4467aafb07332f1f86bd,2019-09-28_10-21-17,1569666077,30.486170530319214,6076.6725199222565,13510,RL-K80,10.0.0.4,244.46379613876343,803072,8,4,1c3a517a,31.915074679308145,28.935578191682776,0.6911521338773196,3.0611038971994016,1.959957173323722,0.010000000000000009,0.010000000000000009,597,29999872,20808960,17737.83,0.0,1567,205,14467,0.1,0.3,"[0.0, 0.0, 0.0, 0.10000000000000142, 1.0]",31.292,95.816,52.689,205824,302336,97727564,75000,205824,302336,97727564,75000,0.0005000000237487257,11.48481559753418,11.273612976074219,11.500734329223633,0.00811447948217392,0.0005000000237487257,10.692756652832031,10.393209457397461,10.699445724487305,0.050902269780635834
61.3023040221277,59.38579254190181,60.84613618378489,100.0,1024,101632,False,20910592,209112,200,5a8c3f26378b4467aafb07332f1f86bd,2019-09-28_10-21-47,1569666107,30.510324954986572,6107.182844877243,13510,RL-K80,10.0.0.4,274.97412109375,904704,9,4,1c3a517a,31.911468726825063,28.934667456959957,0.6905373745435751,3.0647186071901973,1.9649485838691398,0.010000000000000009,0.010000000000000009,600,30155520,20910592,0.0,0.0,1765,205,15074,0.12,0.3249615361854384,"[0.0, 0.0, 0.0, 1.0, 1.0]",26.739,81.863,46.516,230400,343808,97727564,75000,230400,343808,97727564,75000,0.0005000000237487257,11.574121475219727,11.307124137878418,11.584381103515625,0.03814392909407616,0.0005000000237487257,10.72275161743164,10.46918773651123,10.751537322998047,0.024064309895038605
61.333801482070186,59.12645062036697,60.83423043584996,100.0,1040,104960,False,21015552,210152,201,5a8c3f26378b4467aafb07332f1f86bd,2019-09-28_10-22-18,1569666138,30.68838667869568,6137.871231555939,13510,RL-K80,10.0.0.4,305.6625077724457,1009664,10,4,1c3a517a,31.90776485711047,28.92646557873961,0.6905021934021619,3.05817923221382,1.9621597884516908,0.010000000000000009,0.010000000000000009,603,30304256,21015552,0.0,0.0,1970,205,15655,0.16,0.36660605559646714,"[0.0, 0.0, 0.0, 1.0, 1.0]",34.048,88.272,50.691,256512,382208,97727564,75000,256512,382208,97727564,75000,0.0005000000237487257,11.665792465209961,11.458202362060547,11.678449630737305,0.017899122089147568,0.0005000000237487257,10.749467849731445,10.435589790344238,10.757645606994629,0.010574929416179657
